"Symbol","Name","IPOyear","Sector","Industry"
"LMIA","LMI Aerospace, Inc.","1998","Capital Goods","Military/Government/Technical"
"LNBB","LNB Bancorp, Inc.","n/a","Finance","Major Banks"
"LOCM","Local Corporation","n/a","Miscellaneous","Business Services"
"LOGI","Logitech International S.A.","1997","Technology","Computer peripheral equipment"
"LOGM","LogMein, Inc.","2009","Technology","Computer Software: Prepackaged Software"
"LOJN","LoJack Corporation","n/a","Consumer Durables","Telecommunications Equipment"
"LOOK","LookSmart, Ltd.","1999","Technology","EDP Services"
"LORL","Loral Space and Communications, Inc.","n/a","Technology","Radio And Television Broadcasting And Communications Equipment"
"LABC","Louisiana Bancorp, Inc.","n/a","Finance","Savings Institutions"
"LPTN","Lpath, Inc.","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"LPLA","LPL Financial Holdings Inc.","2010","Finance","Investment Bankers/Brokers/Service"
"LRAD","LRAD Corporation","n/a","Consumer Non-Durables","Consumer Electronics/Appliances"
"LSBI","LSB Financial Corp.","n/a","Finance","Savings Institutions"
"LSI","LSI Corporation","n/a","Technology","Semiconductors"
"LYTS","LSI Industries Inc.","1985","Consumer Durables","Building Products"
"LTXC","LTX-Credence Corporation","n/a","Capital Goods","Electrical Products"
"LULU","lululemon athletica inc.","2007","Consumer Non-Durables","Apparel"
"LMNX","Luminex Corporation","2000","Health Care","Medical/Dental Instruments"
"LMOS","Lumos Networks Corp.","n/a","Public Utilities","Telecommunications Equipment"
"LUNA","Luna Innovations Incorporated","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"MBTF","M B T Financial Corp","n/a","Finance","Major Banks"
"MTSI","M/A-COM Technology Solutions Holdings, Inc.","1992","Technology","Semiconductors"
"MCBC","Macatawa Bank Corporation","n/a","Finance","Major Banks"
"MFNC","Mackinac Financial Corporation","n/a","Finance","Major Banks"
"MCBK","Madison County Financial, Inc.","n/a","Finance","Savings Institutions"
"MAGS","Magal Security Systems Ltd.","1993","Consumer Durables","Telecommunications Equipment"
"MGLN","Magellan Health Services, Inc.","n/a","Health Care","Hospital/Nursing Management"
"MPET","Magellan Petroleum Corporation","n/a","Energy","Oil & Gas Production"
"MGIC","Magic Software Enterprises Ltd.","1991","Technology","Computer Software: Prepackaged Software"
"CALL","magicJack VocalTec Ltd","1992","Public Utilities","Telecommunications Equipment"
"MNGA","MagneGas Corporation","n/a","Technology","Industrial Machinery/Components"
"MAG","Magnetek, Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"MGYR","Magyar Bancorp, Inc.","n/a","Finance","Savings Institutions"
"MHLD","Maiden Holdings, Ltd.","n/a","Finance","Property-Casualty Insurers"
"MSFG","MainSource Financial Group, Inc.","n/a","Finance","Major Banks"
"COOL","Majesco Entertainment Company","1998","Technology","Computer Software: Prepackaged Software"
"MMYT","MakeMyTrip Limited","2010","Consumer Services","Transportation Services"
"MAKO","MAKO Surgical Corp.","2008","Health Care","Industrial Specialties"
"MLVF","Malvern Bancorp, Inc.","n/a","Finance","Banks"
"MAMS","MAM Software Group, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"MNDL","Mandalay Digital Group, Inc","n/a","Miscellaneous","Multi-Sector Companies"
"MANH","Manhattan Associates, Inc.","1998","Technology","Computer Software: Prepackaged Software"
"LOAN","Manhattan Bridge Capital, Inc","1997","Finance","Finance Companies"
"MNTX","Manitex International, Inc.","n/a","Technology","Industrial Machinery/Components"
"MTEX","Mannatech, Incorporated","n/a","Consumer Durables","Specialty Chemicals"
"MNKD","MannKind Corporation","2004","Health Care","Major Pharmaceuticals"
"MANT","ManTech International Corporation","1971","Consumer Services","Other Consumer Services"
"MCHX","Marchex, Inc.","2004","Miscellaneous","Business Services"
"MARPS","Marine Petroleum Trust","n/a","Energy","Oil & Gas Production"
"MKTX","MarketAxess Holdings, Inc.","2004","Finance","Investment Bankers/Brokers/Service"
"MKTO","Marketo, Inc.","n/a","Technology","Computer Software: Prepackaged Software"
"MRLN","Marlin Business Services Corp.","2003","Finance","Major Banks"
"FISH","Marlin Midstream Partners, LP","1992","Public Utilities","Natural Gas Distribution"
"MBII","Marrone Bio Innovations, Inc.","n/a","Basic Industries","Agricultural Chemicals"
"MRTN","Marten Transport, Ltd.","1986","Transportation","Trucking Freight/Courier Services"
"MMLP","Martin Midstream Partners L.P.","2002","Energy","Oil Refining/Marketing"
"MRVL","Marvell Technology Group Ltd.","2000","Technology","Semiconductors"
"MASI","Masimo Corporation","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"MASC","Material Sciences Corporation","n/a","Capital Goods","Industrial Specialties"
"MTRX","Matrix Service Company","1981","Basic Industries","Engineering & Construction"
"MAT","Mattel, Inc.","n/a","Consumer Non-Durables","Recreational Products/Toys"
"MATR","Mattersight Corporation","n/a","Consumer Services","Professional Services"
"MATW","Matthews International Corporation","1994","Capital Goods","Metal Fabrications"
"MFRM","Mattress Firm Holding Corp.","n/a","Consumer Services","Other Specialty Stores"
"MTSN","Mattson Technology, Inc.","1994","Technology","Industrial Machinery/Components"
"MXIM","Maxim Integrated Products, Inc.","1988","Technology","Semiconductors"
"MXWL","Maxwell Technologies, Inc.","n/a","Energy","Industrial Machinery/Components"
"MFLR","Mayflower Bancorp, Inc.","n/a","Finance","Major Banks"
"MZOR","Mazor Robotics Ltd.","n/a","Health Care","Medical/Dental Instruments"
"MBFI","MB Financial Inc.","n/a","Finance","Major Banks"
"MCGC","MCG Capital Corporation","2001","n/a","n/a"
"MGRC","McGrath RentCorp","1984","Technology","Diversified Commercial Services"
"MDCA","MDC Partners Inc.","n/a","Technology","Advertising"
"MEAD","Meade Instruments Corp.","1997","Capital Goods","Electronic Components"
"MEAS","Measurement Specialties, Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"MCOX","Mecox Lane Limited","2010","Consumer Non-Durables","Apparel"
"TAXI","Medallion Financial Corp.","1996","Finance","Finance: Consumer Services"
"MDAS","MedAssets, Inc.","2007","Technology","Computer Software: Prepackaged Software"
"MBIS","Mediabistro Inc.","n/a","Miscellaneous","Business Services"
"MDCI","Medical Action Industries Inc.","n/a","Health Care","Industrial Specialties"
"MNOV","MediciNova, Inc.","n/a","Health Care","Major Pharmaceuticals"
"MDSO","Medidata Solutions, Inc.","2009","Technology","Computer Software: Prepackaged Software"
"MDVN","Medivation, Inc.","n/a","Health Care","Major Pharmaceuticals"
"MWRX","MedWorth Acquisition Corp.","n/a","Finance","Business Services"
"MEIP","MEI Pharma, Inc.","n/a","Health Care","Major Pharmaceuticals"
"MELA","MELA Sciences, Inc","2005","Health Care","Medical/Dental Instruments"
"MPEL","Melco Crown Entertainment Limited","2006","Consumer Services","Hotels/Resorts"
"MLNX","Mellanox Technologies, Ltd.","2007","Technology","Semiconductors"
"MEMP","Memorial Production Partners LP","n/a","Energy","Oil & Gas Production"
"MEMS","MEMSIC, Inc.","2007","Technology","Semiconductors"
"MENT","Mentor Graphics Corporation","1984","Technology","EDP Services"
"MTSL","MER Telemanagement Solutions Ltd.","1997","Public Utilities","Telecommunications Equipment"
